#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-chlamy-name	chlamy-symbol	chlamy-defline	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-rice-name	rice-symbol	rice-defline
33732145	Brdisv1ABR21000001m.g	Brdisv1ABR21000001m	Brdisv1ABR21000001m.p	PF13456	PTHR33033,PTHR33033:SF20								AT3G09510.1		Ribonuclease H-like superfamily protein	LOC_Os02g06100.1		expressed protein
33733172	Brdisv1ABR21000002m.g	Brdisv1ABR21000002m	Brdisv1ABR21000002m.p															
33734991	Brdisv1ABR21000003m.g	Brdisv1ABR21000003m	Brdisv1ABR21000003m.p	PF01734	PTHR32176,PTHR32176:SF10	KOG0513			GO:0006629				AT2G26560.1	PLA IIA,PLA2A,PLP2	phospholipase A 2A	LOC_Os11g39990.1		patatin, putative, expressed
33730583	Brdisv1ABR21000004m.g	Brdisv1ABR21000004m	Brdisv1ABR21000004m.p	PF05001,PF05000,PF04983,PF04990,PF04992,PF00623,PF04998,PF04997	PTHR19376,PTHR19376:SF37		2.7.7.6	K03006	GO:0006366,GO:0005665,GO:0003677,GO:0006351,GO:0003899	Cre16.g680900.t1.2	g16489.t1,Cre16.g680900.t1.1,RPB1	DNA-directed RNA polymerase II, largest subunit	AT4G35800.1	NRPB1,RNA_POL_II_LS,RNA_POL_II_LSRNA_POL_II_LS,RPB1	RNA polymerase II large subunit	LOC_Os05g05860.1		retrotransposon protein, putative, unclassified, expressed
33731454	Brdisv1ABR21000005m.g	Brdisv1ABR21000005m	Brdisv1ABR21000005m.p	PF00854	PTHR11654,PTHR11654:SF78			K14638	GO:0016020,GO:0006810,GO:0005215	Cre04.g224700.t1.2	g4904.t1,Cre04.g224700.t1.1,NRT1.1		AT1G12110.1	ATNRT1,B-1,CHL1,CHL1-1,NRT1,NRT1.1	nitrate transporter 1.1	LOC_Os08g05910.1		peptide transporter PTR2, putative, expressed
33735549	Brdisv1ABR21000006m.g	Brdisv1ABR21000006m	Brdisv1ABR21000006m.p	PF05699	PTHR32166,PTHR32166:SF13				GO:0046983	Cre04.g217967.t1.1	g4601.t1,Cre03.g208750.t1.1,Cre03.g208750.t1.2		AT5G33406.1		hAT dimerisation domain-containing protein / transposase-related	LOC_Os07g22590.1		hAT dimerisation domain containing protein, expressed
33734067	Brdisv1ABR21000007m.g	Brdisv1ABR21000007m	Brdisv1ABR21000007m.p															
33732323	Brdisv1ABR21000008m.g	Brdisv1ABR21000008m	Brdisv1ABR21000008m.p															
33727378	Brdisv1ABR21000009m.g	Brdisv1ABR21000009m	Brdisv1ABR21000009m.p															
33736172	Brdisv1ABR21000010m.g	Brdisv1ABR21000010m	Brdisv1ABR21000010m.p															
33731871	Brdisv1ABR21000011m.g	Brdisv1ABR21000011m	Brdisv1ABR21000011m.p		PTHR33120,PTHR33120:SF9											LOC_Os11g09940.1		expressed protein
33728663	Brdisv1ABR21000012m.g	Brdisv1ABR21000012m	Brdisv1ABR21000012m.p	PF02485	PTHR31042,PTHR31042:SF25				GO:0016020,GO:0008375				AT1G10280.1		Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	LOC_Os04g20420.1		DNA binding protein, putative, expressed
33724510	Brdisv1ABR21000013m.g	Brdisv1ABR21000013m	Brdisv1ABR21000013m.p		PTHR33286,PTHR33286:SF1								AT4G30880.1		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	LOC_Os03g25350.1		LTPL36 - Protease inhibitor/seed storage/LTP family protein precursor, expressed
33735542	Brdisv1ABR21000014m.g	Brdisv1ABR21000014m	Brdisv1ABR21000014m.p	PF07762	PTHR33074,PTHR33074:SF12											LOC_Os01g56900.1		expressed protein
33736077	Brdisv1ABR21000015m.g	Brdisv1ABR21000015m	Brdisv1ABR21000015m.p													LOC_Os07g15440.1		alanyl-tRNA synthetase family protein, expressed
33723794	Brdisv1ABR21000016m.g	Brdisv1ABR21000016m	Brdisv1ABR21000016m.p															
33735524	Brdisv1ABR21000017m.g	Brdisv1ABR21000017m	Brdisv1ABR21000017m.p		PTHR25952,PTHR25952:SF191								AT3G09510.1		Ribonuclease H-like superfamily protein	LOC_Os04g50188.1		retrotransposon protein, putative, unclassified, expressed
33735596	Brdisv1ABR21000018m.g	Brdisv1ABR21000018m	Brdisv1ABR21000018m.p	PF13307,PF06777,PF06733	PTHR11472,PTHR11472:SF1		3.6.4.12		GO:0016818,GO:0008026,GO:0006139,GO:0005524,GO:0003676,GO:0005634,GO:0004003,GO:0003677	Cre17.g706300.t1.1	g17117.t1,XPD1	DNA repair helicase	AT1G03190.2	ATXPD,UVH6	RAD3-like DNA-binding helicase protein	LOC_Os05g05260.1		helicase, putative, expressed
