#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-chlamy-name	chlamy-symbol	chlamy-defline	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-rice-name	rice-symbol	rice-defline
35567531	Brdisv1Bd21-3_r1000001m.g	Brdisv1Bd21-3_r1000001m	Brdisv1Bd21-3_r1000001m.p															
35571426	Brdisv1Bd21-3_r1000002m.g	Brdisv1Bd21-3_r1000002m	Brdisv1Bd21-3_r1000002m.p		PTHR34395,PTHR34395:SF1											LOC_Os01g36820.1		expressed protein
35578372	Brdisv1Bd21-3_r1000003m.g	Brdisv1Bd21-3_r1000003m	Brdisv1Bd21-3_r1000003m.p													LOC_Os12g09220.1		expressed protein
35575256	Brdisv1Bd21-3_r1000004m.g	Brdisv1Bd21-3_r1000004m	Brdisv1Bd21-3_r1000004m.p	PF03094					GO:0016021,GO:0006952							LOC_Os05g09050.1		MLO domain containing protein, putative, expressed
35570584	Brdisv1Bd21-3_r1000005m.g	Brdisv1Bd21-3_r1000005m	Brdisv1Bd21-3_r1000005m.p		PTHR33087											LOC_Os08g09890.1		expressed protein
35579122	Brdisv1Bd21-3_r1000006m.g	Brdisv1Bd21-3_r1000006m	Brdisv1Bd21-3_r1000006m.p	PF14223	PTHR11439,PTHR11439:SF185		2.7.7.49						AT1G21280.1					
35577038	Brdisv1Bd21-3_r1000008m.g	Brdisv1Bd21-3_r1000008m	Brdisv1Bd21-3_r1000008m.p															
35579280	Brdisv1Bd21-3_r1000010m.g	Brdisv1Bd21-3_r1000009m	Brdisv1Bd21-3_r1000009m.p															
35579278	Brdisv1Bd21-3_r1000010m.g	Brdisv1Bd21-3_r1000010m	Brdisv1Bd21-3_r1000010m.p															
35579279	Brdisv1Bd21-3_r1000010m.g	Brdisv1Bd21-3_r1000011m	Brdisv1Bd21-3_r1000011m.p															
35578358	Brdisv1Bd21-3_r1000012m.g	Brdisv1Bd21-3_r1000012m	Brdisv1Bd21-3_r1000012m.p															
35573008	Brdisv1Bd21-3_r1000013m.g	Brdisv1Bd21-3_r1000013m	Brdisv1Bd21-3_r1000013m.p															
35569642	Brdisv1Bd21-3_r1000014m.g	Brdisv1Bd21-3_r1000014m	Brdisv1Bd21-3_r1000014m.p													LOC_Os01g11430.1		expressed protein
